Altium Designer Pick and Place Locations
D:\Masterpiece\Product\YW_001\PCB\YW_001\Project Outputs for YW_001\Pick Place for YW_001.csv

========================================================================================================================
File Design Information:

Date:       14/09/24
Time:       14:31
Revision:   6f6fdd4a98cfdbeed58a3ee18f293fc262afc992
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C13","104P","TopLayer","C0603","1945.000","2560.000","90","Capacitor"
"C12","104P","TopLayer","C0603","2020.000","2700.000","360","Capacitor"
"R19","Res2","TopLayer","0805","830.000","1910.000","180","Resistor"
"R23","Res2","TopLayer","0805","645.000","2310.000","90","Resistor"
"Q5","SW8050","TopLayer","SOT-23_-_S8550","819.500","2060.000","0",""
"J1","CON4","TopLayer","HDR1X4","1070.000","2495.000","270","Connector"
"R21","Res2","TopLayer","0805","630.000","1910.000","180","Resistor"
"Q4","SW8050","TopLayer","SOT-23_-_S8550","644.500","2055.000","0",""
"C11","102","TopLayer","0805C","630.000","1790.000","0","Capacitor"
"D8","CD4148WSP","TopLayer","D0805-RD","140.000","1695.000","180",""
"R20","Res2","TopLayer","0805","370.000","1650.000","180","Resistor"
"R22","Res2","TopLayer","0805","820.000","2310.000","90","Resistor"
"D9","CD4148WSP","TopLayer","D0805-RD","285.000","1785.000","0",""
"R18","Res2","TopLayer","0805","190.000","1540.000","90","Resistor"
"R17","Res2","TopLayer","0805","450.000","1090.000","180","Resistor"
"C10","102","TopLayer","0805C","210.000","1090.000","180","Capacitor"
"Q2","SW8050","TopLayer","SOT-23_-_S8550","550.000","1389.500","90",""
"Q3","SW8050","TopLayer","SOT-23_-_S8550","355.000","1427.500","90",""
"C9","1000uF25V","TopLayer","CAP-TH_BD10.0-P5.00-D1.0-FD","270.000","2050.000","180","CD2881081EM1017VFL"
"C8","1uF","TopLayer","0805C","390.000","2365.000","180","Capacitor"
"C7","102","TopLayer","0805C","180.000","2365.000","180","Capacitor"
"R12","Res2","TopLayer","0805","2110.000","3045.000","180","Resistor"
"D1","RS2M","TopLayer","SMA-SMD_L4.4-W2.7-LS5.4-RD","1955.001","3719.999","90",""
"C6","1000uF25V","TopLayer","CAP-TH_BD10.0-P5.00-D1.0-FD","2060.000","3335.000","180","CD2881081EM1017VFL"
"R2","Res2","TopLayer","0805","1040.000","3785.000","270","Resistor"
"D2","RS2M","TopLayer","SMA-SMD_L4.4-W2.7-LS5.4-RD","1039.999","3500.001","270",""
"C1","102","TopLayer","CAP-TH_L5.5-W4.0-P5.00-D0.5","850.000","3784.995","270","Capacitor"
"USB1","ECO2017SEO-X16V015","TopLayer","XFMR-TH_ECO2017SEO-X16V015","1462.661","3485.154","0",""
"R15","Res2","TopLayer","0805","1760.000","4050.000","0","Resistor"
"R14","Res2","TopLayer","0805","1435.000","4045.000","0","Resistor"
"R13","Res2","TopLayer","0805","1275.000","4395.000","180","Resistor"
"R8","Res2","TopLayer","0805","1665.000","4525.000","270","Resistor"
"R9","Res2","TopLayer","0805","1760.000","4525.000","90","Resistor"
"R11","Res2","TopLayer","0805","1950.000","4525.000","90","Resistor"
"R10","Res2","TopLayer","0805","1855.000","4525.000","270","Resistor"
"R16","Res2","TopLayer","0805","2085.000","4050.000","0","Resistor"
"R7","Res2","TopLayer","0805","2270.000","4600.000","180","Resistor"
"D3","HLMP-1503-D0000","BottomLayer","LED-TH_BD3.0-P2.54-RD","1010.000","4200.000","270",""
"D5","HLMP-1503-D0000","BottomLayer","LED-TH_BD3.0-P2.54-RD","1390.000","4200.000","90",""
"D6","HLMP-1503-D0000","BottomLayer","LED-TH_BD3.0-P2.54-RD","1715.000","4200.000","90",""
"D7","HLMP-1503-D0000","BottomLayer","LED-TH_BD3.0-P2.54-RD","2040.000","4200.000","90",""
"C2","104P","TopLayer","0805C","2270.000","4725.000","180","Capacitor"
"DZ1","ZMM24","TopLayer","LL-34_L3.5-W1.5-RD","1890.000","3045.000","180",""
"U4","MC7805CDTRKG","TopLayer","TO-252-2_L6.6-W6.1-P4.58-LS9.9-TL","305.005","2650.205","90",""
"U1","EL817S1(C)(TU)-F","TopLayer","OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL","595.000","2860.709","90",""
"C5","104P","TopLayer","0805C","825.000","3160.000","180","Capacitor"
"C4","1uF","TopLayer","0805C","590.000","3160.000","0","Capacitor"
"U3","VIPER12ASTR-E","TopLayer","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","815.000","3405.000","0",""
"R6","Res2","TopLayer","0805","400.000","3115.000","90","Resistor"
"R4","Res2","TopLayer","0805","235.000","3465.000","90","Resistor"
"R3","Res2","TopLayer","0805","235.000","3680.000","90","Resistor"
"D4","RS2M","TopLayer","SMA-SMD_L4.4-W2.7-LS5.4-RD","1500.001","4494.999","90",""
"R26","10R","TopLayer","R0603","1735.000","2270.000","180",""
"LED2","FJ5461BH ³Èºì","BottomLayer","LED-SEG-TH_FJ5461AH","1480.000","1690.000","0",""
"LED1","FJ5461BH ³Èºì","BottomLayer","LED-SEG-TH_FJ5461AH","1480.000","2475.000","0",""
"R31","10R","TopLayer","R0603","1755.000","2665.000","360",""
"R25","10R","TopLayer","R0603","1560.340","2270.000","180",""
"R24","10R","TopLayer","R0603","1260.000","2270.000","180",""
"R30","10R","TopLayer","R0603","1760.000","1900.000","360",""
"R27","10R","TopLayer","R0603","1260.000","1490.000","180",""
"R29","10R","TopLayer","R0603","1714.660","1490.000","180",""
"R28","10R","TopLayer","R0603","1560.340","1490.000","180",""
"K2","TS1212TPFS 250gf 072","BottomLayer","KEY-SMD_4P-L12.0-W12.0-P5.00-LS15.0","2325.000","675.000","90",""
"K1","TS1212TPFS 250gf 072","BottomLayer","KEY-SMD_4P-L12.0-W12.0-P5.00-LS15.0","1731.667","675.000","90",""
"K4","TS1212TPFS 250gf 072","BottomLayer","KEY-SMD_4P-L12.0-W12.0-P5.00-LS15.0","1138.333","675.000","90",""
"K3","TS1212TPFS 250gf 072","BottomLayer","KEY-SMD_4P-L12.0-W12.0-P5.00-LS15.0","545.000","675.000","90",""
"R33","2.2k","TopLayer","0805","2270.000","1180.000","180",""
"R32","2.2k","TopLayer","0805","1745.000","1180.000","180",""
"R35","2.2k","TopLayer","0805","1140.000","1180.000","180",""
"R34","2.2k","TopLayer","0805","800.000","1180.000","180",""
"C16","104P","TopLayer","0805C","800.000","1075.000","180","Capacitor"
"C17","104P","TopLayer","0805C","1140.000","1075.000","180","Capacitor"
"C14","104P","TopLayer","0805C","1745.000","1075.000","180","Capacitor"
"C15","104P","TopLayer","0805C","2270.000","1075.000","180","Capacitor"
"PE1","PZ254V-11-01P","TopLayer","HDR-TH_1P-P2.54-V-M","1060.000","4990.000","0",""
"H1","HC-5557-2*4AW","TopLayer","CONN-TH_8P-P4.20_5557-2X4AW","1581.965","4881.740","180",""
"X1","392 T10A 250V","TopLayer","FUSE","646.851","4525.000","360",""
"U2","BUZZER","TopLayer","BUZZ-7.6/12","2570.394","3570.000","180","Buzzer"
